master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12
043e49f8-a3d3-11e9-a2fc-000d3a38a36f,98,5,1187.68,4,4,5,445,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
043fb20c-adc9-11e9-a2fc-000d3a38a36f,106,18,3140.37,4,5,5,455,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
043fd458-5bcf-11ea-bd4d-000d3a38a36f,41,8,1169.29,5,5,5,555,champions,"[COCUK, KADIN]"
0451d312-9d96-11e9-9897-000d3a38a36f,48,21,3312.36,5,5,5,555,champions,"[ERKEK, KADIN, AKTIFSPOR]"
04b21532-5b97-11ea-9288-000d3a38a36f,118,7,947.8,3,4,4,344,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN]"
04dc6890-add8-11e9-a2fc-000d3a38a36f,116,7,1174.78,3,4,5,345,loyal_customers,"[KADIN, AKTIFSPOR]"
04ed3992-c545-11ea-9dde-000d3a38a36f,55,9,1428.13,5,5,5,555,champions,"[KADIN, AKTIFSPOR]"
05081884-3ed1-11ea-b794-000d3a38a36f,48,7,813.13,5,4,4,544,champions,[KADIN]
0570a22a-62b5-11ea-9861-000d3a38a36f,121,11,1855.07,3,5,5,355,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0581d56e-a252-11e9-a2fc-000d3a38a36f,174,9,1559.32,3,5,5,355,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
05af90dc-9daa-11e9-9897-000d3a38a36f,149,7,546.18,3,4,3,343,loyal_customers,[KADIN]
05cf1692-9b82-11ea-a27a-000d3a38a36f,51,5,955.37,5,4,4,544,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
05f7bffa-527d-11ea-825c-000d3a38a36f,62,8,1178.38,5,5,5,555,champions,"[ERKEK, KADIN, AKTIFSPOR]"
06332314-abb2-11e9-a2fc-000d3a38a36f,55,19,1373.52,5,5,5,555,champions,[KADIN]
064a9dfa-ae19-11e9-a2fc-000d3a38a36f,71,9,1195.33,4,5,5,455,loyal_customers,"[KADIN, AKTIFSPOR]"
06aed748-b0ad-11e9-9757-000d3a38a36f,96,11,1657.06,4,5,5,455,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
06b02d54-afff-11e9-9757-000d3a38a36f,83,5,397.92,4,4,2,442,loyal_customers,"[ERKEK, KADIN]"
06bb3668-a79e-11e9-a2fc-000d3a38a36f,40,12,1334.13,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
06d644c8-a166-11e9-a2fc-000d3a38a36f,159,6,639.94,3,4,3,343,loyal_customers,[KADIN]
